instrument_name,option_type,underlying_price_S,strike_K,time_to_maturity_T,risk_free_rate_r,option_price_V,implied_vol,price_heston_analytical,price_heston_monte_carlo,mc_error_abs,mc_error_rel
BTC-26JUN26-64000-P,put,63032.66,64000.0,0.0497234855006659,0.045,3120.1166700000003,0.4764670017374472,2817.557027158138,2752.745184987428,64.8118421707104,0.02300285018049176
BTC-26JUN26-65000-C,call,63033.2,65000.0,0.0497234855006659,0.045,1701.8964,0.4411249624149677,1605.0242835112767,1556.0398773663812,48.9844061448955,0.030519417461855082
BTC-26JUN26-65000-P,put,63033.49,65000.0,0.0497234855006659,0.045,3671.7007924999934,0.4683117439701315,3426.3694928369296,3329.9018708088347,96.46762202809487,0.02815447143974616
BTC-26JUN26-66000-C,call,63033.49,66000.0,0.0497234855006659,0.045,1339.4616624999935,0.4363653079017217,1280.2982953651335,1226.2741241912224,54.0241711739111,0.04219655010827279
BTC-26JUN26-66000-P,put,63034.6,66000.0,0.0497234855006659,0.045,4333.62875,0.4701144991889532,4098.549707099628,4052.520545096609,46.02916200301888,0.011230597477758002
BTC-26JUN26-67000-C,call,63032.68,67000.0,0.0497234855006659,0.045,1040.03922,0.4327733236967059,1013.6538226428529,943.3527776112409,70.30104503161203,0.06935409649846666
BTC-26JUN26-67000-P,put,63030.71,67000.0,0.0497234855006659,0.045,5058.2144775,0.4737034330500158,4832.66276377366,4834.711903625483,2.049139851822474,0.00042401879708700617
BTC-26JUN26-68000-C,call,63030.98,68000.0,0.0497234855006659,0.045,787.8872500000001,0.4279839468411362,799.2368417826347,736.6417219308771,62.595119851757545,0.07831861167979202
BTC-26JUN26-68000-P,put,63032.0,68000.0,0.0497234855006659,0.045,5830.46,0.4787997447456161,5615.475054892449,5571.237230084373,44.237824808076766,0.007877841923549251
BTC-26JUN26-70000-C,call,63032.0,70000.0,0.0497234855006659,0.045,456.98199999999366,0.4283187634268197,502.4455116375593,409.2233246430723,93.222186994487,0.18553690865037148
BTC-26JUN26-70000-P,put,63028.37,70000.0,0.0497234855006659,0.045,7500.37603,0.4924205695718617,7317.144301425804,7254.030456060064,63.11384536573951,0.00862547501672767
BTC-26JUN26-72000-C,call,63028.37,72000.0,0.0497234855006659,0.045,261.5677355,0.4325847846579453,338.0194483035111,236.77671415642166,101.24273414708946,0.2995174823674127
BTC-26JUN26-72000-P,put,63028.18,72000.0,0.0497234855006659,0.045,9249.385415,0.4982385128885804,9148.902198474076,8950.708688464532,198.1935100095434,0.021663091998360157
BTC-26JUN26-74000-C,call,63027.02,74000.0,0.0497234855006659,0.045,160.71890100000002,0.4459650997099461,263.6025737200039,117.33015248062597,146.2724212393779,0.55489754585912
BTC-26JUN26-74000-P,put,63026.38,74000.0,0.0497234855006659,0.045,11155.66926,0.534167577398131,11071.810290902758,10905.901377188773,165.90891371398538,0.01498480459426818
BTC-26JUN26-75000-C,call,63026.16,75000.0,0.0497234855006659,0.045,129.203628,0.4546532144964191,249.44529020217806,84.64844666237441,164.79684353980366,0.6606532574988049
BTC-26JUN26-75000-P,put,63027.96,75000.0,0.0497234855006659,0.045,12148.63929,0.5651606174011773,12053.880721701185,11870.572305978492,183.3084157226931,0.015207419083936519
BTC-26JUN26-76000-C,call,63030.8,76000.0,0.0497234855006659,0.045,107.15236,0.465359110690952,246.4035792128742,56.50218515581616,189.90139405705804,0.7706925145474347
BTC-26JUN26-76000-P,put,63030.8,76000.0,0.0497234855006659,0.045,13094.6487,0.5747854041648325,13045.739370083771,12824.6049846788,221.1343854049719,0.016950697781995618
BTC-26JUN26-78000-C,call,63033.54,78000.0,0.0497234855006659,0.045,78.791925,0.4905318373785282,264.255780494361,26.03071535787494,238.22506513648602,0.901494244291733
BTC-26JUN26-78000-P,put,63041.19,78000.0,0.0497234855006659,0.045,15051.0841125,0.619167582063209,15048.620152434902,14782.727681668723,265.89247076617903,0.017668893763868244
BTC-26JUN26-80000-C,call,63048.36,80000.0,0.0497234855006659,0.045,56.743524,0.5110788624556372,303.29100058536824,13.12411716809314,290.1668834172751,0.9567276406396401
BTC-26JUN26-80000-P,put,63049.72,80000.0,0.0497234855006659,0.045,17054.94926,0.6835012173397179,17074.7325080078,16763.656826633076,311.0756813747248,0.018218480507898725
BTC-26JUN26-82000-C,call,63048.66,82000.0,0.0497234855006659,0.045,47.286495,0.5409054056344873,356.2380298003087,7.384157092979494,348.85387270732923,0.9792718450157646
BTC-26JUN26-82000-P,put,63047.74,82000.0,0.0497234855006659,0.045,19040.41748,0.7305182387493094,19125.253080284594,18818.1431062725,307.10997401209534,0.016057825364344167
BTC-26JUN26-84000-C,call,63047.74,84000.0,0.0497234855006659,0.045,37.828644,0.5653434852053945,418.5937274491421,3.9241159246192177,414.66961152452285,0.99062547843578
BTC-26JUN26-84000-P,put,63037.16,84000.0,0.0497234855006659,0.045,21022.892860000004,0.7678109245795859,21194.085120694363,20758.321049348895,435.7640713454675,0.020560645522744368
BTC-26JUN26-85000-C,call,63023.5,85000.0,0.0497234855006659,0.045,37.8141,0.5858803759753961,453.46849872472467,1.1656565673204642,452.3028421574042,0.9974294651765258
BTC-26JUN26-85000-P,put,63020.53,85000.0,0.0497234855006659,0.045,21994.16497,0.7642172879537226,22243.076762335913,21779.808419681904,463.26834265400976,0.020827529734486178
BTC-26JUN26-86000-C,call,63030.08,86000.0,0.0497234855006659,0.045,37.818048,0.6052580509302058,488.7466978300481,0.9531281447166876,487.7935696853314,0.9980498525126648
BTC-26JUN26-86000-P,put,63030.64,86000.0,0.0497234855006659,0.045,22990.42594,0.7935101850791929,23265.868548797967,22834.021399879908,431.84714891805925,0.018561402425716477
BTC-26JUN26-88000-C,call,63038.29,88000.0,0.0497234855006659,0.045,31.519145,0.6285420456116259,563.7717002493225,0.13173268692434398,563.6399675623982,0.9997663368223945
BTC-26JUN26-90000-C,call,63038.64,90000.0,0.0497234855006659,0.045,25.215455999993697,0.6472637669178342,644.4158157461331,0.0,644.4158157461331,1.0
BTC-26JUN26-92000-C,call,63038.2,92000.0,0.0497234855006659,0.045,22.06337,0.6714026498366867,730.0397418006507,0.0,730.0397418006507,1.0
BTC-26JUN26-94000-C,call,63038.72,94000.0,0.0497234855006659,0.045,25.215487999993695,0.7153044739505854,820.3241119964564,0.0,820.3241119964564,1.0
BTC-26JUN26-95000-C,call,63037.77,95000.0,0.0497234855006659,0.045,18.911331,0.7086032699643873,867.2464540082308,0.0,867.2464540082308,1.0
BTC-31JUL26-48000-C,call,63231.66,48000.0,0.14561389645957,0.045,15776.29917,0.4650150257600611,16036.30957112721,15703.609655590719,332.699915536492,0.020746663318068268
BTC-31JUL26-48000-P,put,63231.18,48000.0,0.14561389645957,0.045,600.69621,0.585263128728366,491.1500211504681,114.11146017523701,377.03856097523106,0.7676647556525749
BTC-31JUL26-50000-C,call,63232.27,50000.0,0.14561389645957,0.045,14132.412345,0.5130780826006741,14094.780057803655,13810.644798199273,284.13525960438164,0.02015889985080459
BTC-31JUL26-50000-P,put,63231.62,50000.0,0.14561389645957,0.045,774.587345,0.5605087089227021,535.9655507363859,252.1860321399868,283.77951859639916,0.5294734301607675
BTC-31JUL26-52000-C,call,63232.41,52000.0,0.14561389645957,0.045,12235.471335,0.4696850106411714,12235.590759122882,11927.926190700815,307.66456842206753,0.025145052207035626
BTC-31JUL26-52000-P,put,63232.41,52000.0,0.14561389645957,0.045,1011.71856,0.5395677014291723,663.5581664053461,427.66092596530774,235.8972404400384,0.35550348467256515
BTC-31JUL26-54000-C,call,63232.34,54000.0,0.14561389645957,0.045,10512.376525,0.4546625092718155,10482.16601098288,10325.200673566516,156.9653374163645,0.01497451359307811
BTC-31JUL26-54000-P,put,63232.77,54000.0,0.14561389645957,0.045,1327.8881699999936,0.5217326582096768,897.093084987755,697.9039570016374,199.18912798611757,0.22203841643572186
BTC-31JUL26-55000-C,call,63233.02,55000.0,0.14561389645957,0.045,9706.26857,0.4512045434360482,9652.9492488272,9425.442133247125,227.50711558007606,0.023568663805801877
BTC-31JUL26-55000-P,put,63233.02,55000.0,0.14561389645957,0.045,1501.784225,0.5109761702149626,1060.713044991353,888.0721505643086,172.64089442704437,0.1627592827694994
BTC-31JUL26-56000-C,call,63232.0,56000.0,0.14561389645957,0.045,8899.903999999999,0.443905964669385,8857.027604093739,8616.166733327731,240.8608707660078,0.027194323144559395
BTC-31JUL26-56000-P,put,63232.52,56000.0,0.14561389645957,0.045,1707.27804,0.5019078921479155,1259.1908128803043,1088.5505000798319,170.64031280047243,0.1355158495876773
BTC-31JUL26-57000-C,call,63232.52,57000.0,0.14561389645957,0.045,8172.80321,0.4438436858051864,8099.42703563354,8022.15541835753,77.27161727601015,0.009540380688171226
BTC-31JUL26-57000-P,put,63232.68,57000.0,0.14561389645957,0.045,1960.21308,0.4961080655618068,1494.5954815242803,1347.1528249856383,147.44265653864204,0.09865054348235482
BTC-31JUL26-58000-C,call,63235.53,58000.0,0.14561389645957,0.045,7445.983657499999,0.4391538227095714,7382.64473303414,7245.061378982383,137.58335405175694,0.018636052394087308
